Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Population
Ivory Coast,"88,384",,835,"87,497",52,"27,742,298"
Suriname,"82,588",,"1,408",N/A,N/A,"596,831"
New Caledonia,"80,064",,314,N/A,N/A,"290,915"
French Polynesia,"79,254",,650,N/A,N/A,"284,164"
Eswatini,"75,191",,"1,427","73,116",648,"1,184,817"
Guyana,"74,137",,"1,300","72,013",824,"794,045"
Belize,"71,381",,688,N/A,N/A,"412,190"
Fiji,"69,117",,885,"67,226","1,006","909,466"
Madagascar,"68,486",,"1,426","66,862",198,"29,178,077"
Cabo Verde,"64,477",,417,"63,755",305,"567,678"
Sudan,"63,993",,"5,046","58,947",0,"45,992,020"
Mauritania,"63,832",,997,"62,471",364,"4,901,981"
Bhutan,"62,697",,21,"61,564","1,112","787,941"
Syria,"57,743",,"3,165","54,578",0,"19,364,809"
Burundi,"54,721",,38,"53,569","1,114","12,624,840"
Seychelles,"51,220",,172,"51,048",0,"99,426"
Gabon,"49,051",,307,"48,674",70,"2,331,533"
Andorra,"48,015",,165,N/A,N/A,"77,463"
Papua New Guinea,"46,864",,670,"46,168",26,"9,292,169"
Curaçao,"45,986",,295,"44,720",971,"165,529"
Aruba,"44,224",,292,"42,438","1,494","107,609"
Tanzania,"43,223",,846,N/A,N/A,"63,298,550"
Mauritius,"43,025",,"1,051","41,278",696,"1,274,727"
Mayotte,"42,027",,188,N/A,N/A,"286,259"
Togo,"39,557",,290,"39,265",2,"8,680,837"
Guinea,"38,572",,468,"37,757",347,"13,865,691"
Bahamas,"38,084",,844,"36,366",874,"400,516"
Isle of Man,"38,008",,116,N/A,N/A,"85,732"
Lesotho,"36,138",,723,"25,980","9,435","2,175,699"
Faeroe Islands,"34,658",,28,N/A,N/A,"49,233"
Haiti,"34,542",,860,"33,576",106,"11,680,283"
Mali,"33,164",,743,"32,332",89,"21,473,764"
Cayman Islands,"31,472",,37,"8,553","22,882","67,277"
Saint Lucia,"30,215",,410,"29,801",4,"185,113"
Benin,"28,036",,163,"27,847",26,"12,784,726"
Somalia,"27,334",,"1,361","13,182","12,791","16,841,795"
Micronesia,"26,547",,65,N/A,N/A,"117,489"
San Marino,"26,185",,128,"26,011",46,"34,085"
Solomon Islands,"25,954",,199,N/A,N/A,"721,159"
Congo,"25,375",,386,"24,006",983,"5,797,805"
Timor-Leste,"23,460",,138,"23,102",220,"1,369,429"
Macao,"22,706",,123,"3,487","19,096","667,490"
Burkina Faso,"22,109",,400,"21,596",113,"22,102,838"
Liechtenstein,"21,572",,94,N/A,N/A,"38,387"
Gibraltar,"20,550",,113,N/A,N/A,"33,704"
Grenada,"19,693",,238,"19,358",97,"113,475"
Bermuda,"18,860",,165,"18,685",10,"61,939"
South Sudan,"18,819",,147,"18,115",557,"11,618,511"
Nicaragua,"18,491",,225,"4,225","14,041","6,779,100"
Tajikistan,"17,786",,125,"17,264",397,"9,957,464"
Equatorial Guinea,"17,229",,183,"16,907",139,"1,496,662"
Monaco,"17,181",,67,N/A,N/A,"39,783"
Samoa,"17,006",,31,"1,605","15,370","202,239"
Tonga,"16,950",,13,"15,638","1,299","107,749"
Marshall Islands,"16,138",,17,"16,121",0,"60,057"
Dominica,"16,038",,74,"15,964",0,"72,344"
Djibouti,"15,690",,189,"15,427",74,"1,016,097"
CAR,"15,440",,113,"15,200",127,"5,016,678"
Gambia,"12,626",,372,"12,189",65,"2,558,482"
Saint Martin,"12,324",,63,N/A,N/A,"39,730"
Vanuatu,"12,019",,14,"11,976",29,"321,832"
Greenland,"11,971",,21,"2,761","9,189","56,973"
Yemen,"11,945",,"2,159","9,124",662,"31,154,867"
Caribbean Netherlands,"11,682",,38,"10,476","1,168","26,647"
Sint Maarten,"11,051",,92,"10,905",54,"43,966"
Eritrea,"10,189",,103,"10,086",0,"3,662,244"
Niger,"9,931",,312,"8,890",729,"26,083,660"
St. Vincent Grenadines,"9,674",,124,"9,493",57,"111,551"
Guinea-Bissau,"9,614",,177,"8,929",508,"2,063,367"
Comoros,"9,109",,161,"8,939",9,"907,419"
Antigua and Barbuda,"9,106",,146,"8,954",6,"99,509"
Liberia,"8,090",,295,"7,783",12,"5,305,117"
Sierra Leone,"7,779",,126,N/A,N/A,"8,306,436"
Chad,"7,701",,194,"4,874","2,633","17,413,580"
British Virgin Islands,"7,392",,64,N/A,N/A,"30,596"
Cook Islands,"7,203",,2,"7,150",51,"17,571"
Sao Tome and Principe,"6,751",,80,"6,671",0,"227,679"
Turks and Caicos,"6,749",,40,"6,683",26,"39,741"
Saint Kitts and Nevis,"6,607",,48,"6,559",0,"53,871"
Palau,"6,279",,10,"6,268",1,"18,233"
St. Barth,"5,507",,6,N/A,N/A,"9,945"
Nauru,"5,393",,1,"5,347",45,"10,903"
Kiribati,"5,085",,24,"2,703","2,358","123,419"
Anguilla,"3,904",,12,N/A,N/A,"15,230"
Wallis and Futuna,"3,550",,8,438,"3,104","10,982"
Saint Pierre Miquelon,"3,452",,2,"2,449","1,001","5,759"
Tuvalu,"2,943",,1,N/A,N/A,"12,066"
Saint Helena,"2,166",,,2,"2,164","6,115"
Falkland Islands,"1,930",,,"1,930",0,"3,539"
Montserrat,"1,403",,8,"1,376",19,"4,965"
Niue,"1,055",,,"1,053",2,"1,622"
Diamond Princess,712,,13,699,0,
Tokelau,80,,,,80,"1,378"
Vatican City,29,,,29,0,799
Western Sahara,10,,1,9,0,"626,161"
MS Zaandam,9,,2,7,0,
China,"503,302",,"5,272","379,053","118,977","1,448,471,400"
Total:,"131,413,625",,"1,674,775","126,866,566","2,872,284",
Total:,"221,452,228",161,"1,553,005","205,616,782","14,282,441",
Total:,"253,186,231",940,"2,100,109","248,509,042","2,577,080",
Total:,"69,791,773",,"1,365,551","66,648,277","1,777,945",
Total:,"14,826,780","1,345","32,665","14,572,565","221,550",
Total:,"12,859,770",,"258,884","12,089,899","510,987",
Total:,721,,15,706,0,
Total:,"703,531,128","2,446","6,985,004","674,303,837","22,242,287",
