track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,96,F,Major
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,95,D,Major
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,125,F,Minor
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,144,A,Minor
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,90,D,Major
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,128,G,Minor
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,79,F#,Major
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,144,,Major
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,122,F,Major
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,140,,Major
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,134,C#,Minor
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,186,G,Major
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,67,C#,Minor
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,106,A#,Minor
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,128,G,Major
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,107,F#,Minor
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,130,G,Minor
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,123,E,Minor
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,171,C#,Major
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,137,G,Minor
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,125,G,Minor
S91,Karol G,1,2023,7,14,525,41,16011326,128,,Minor
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,130,,Minor
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,130,B,Major
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,133,F,Major
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,101,D,Major
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,95,F,Minor
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,98,C#,Minor
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,173,B,Major
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,90,G#,Major
People,Libianca,1,2022,12,2,3506,56,373199958,198,A#,Minor
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,140,C#,Major
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,82,G#,Major
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,130,C#,Minor
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,81,B,Major
golden hour,JVKE,1,2022,7,15,4511,36,751134527,94,C#,Minor
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,124,A#,Major
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,128,D,Major
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,138,F,Minor
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,132,E,Major
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,131,D,Major
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,168,F#,Minor
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,98,C#,Major
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,102,C#,Major
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,101,A#,Major
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,130,F,Major
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,142,D,Major
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,170,C#,Major
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,124,G#,Minor
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,110,C#,Major
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,92,C#,Minor
Makeba,Jain,1,2015,6,22,6060,53,165484133,116,D,Major
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,129,A,Major
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,98,G#,Major
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,172,C#,Minor
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,150,D,Major
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,136,A,Minor
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,88,C#,Minor
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,143,D#,Major
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,100,F#,Minor
Snooze,SZA,1,2022,12,9,2839,25,399686758,143,F,Major
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,112,C#,Minor
Take Two,BTS,1,2023,6,9,674,47,118482347,93,G,Major
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,206,G,Major
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,88,G,Minor
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,170,D,Major
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,84,E,Minor
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,134,E,Minor
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,158,A#,Major
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,116,C#,Major
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,117,C#,Major
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,114,F,Minor
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,108,D,Minor
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,144,E,Minor
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,130,F,Major
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561,116,B,Major
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,121,G,Major
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,112,G,Major
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,100,A#,Minor
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,150,D#,Minor
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,120,F,Minor
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,127,B,Minor
august,Taylor Swift,1,2020,7,24,7324,22,607123776,90,F,Major
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,128,A,Minor
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,143,A,Major
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,139,G#,Major
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,162,A#,Major
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424,92,,Major
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821,95,F,Major
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,146,D,Major
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,95,,Major
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,115,E,Minor
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,128,B,Major
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,130,E,Minor
OMG,NewJeans,1,2023,1,2,1783,27,430977451,127,A,Minor
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,150,D,Major
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,122,D,Minor
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710,140,,Major
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,140,,Major
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,119,C#,Minor
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,110,G,Minor
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,95,G#,Major
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,132,F#,Major
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,125,A#,Minor
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,124,D#,Minor
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,133,B,Minor
Without Me,Eminem,1,2002,1,1,21081,43,1687664027,112,G,Major
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,97,,Major
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,90,F,Minor
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788,80,D#,Minor
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494,172,A,Major
Those Eyes,New West,1,2019,5,10,1507,14,411747614,120,E,Major
